product_name,download_name,new_formatted_name,version,new_formatted_version_major
Firefox,firefox,firefox,9.0b6,9.0
Firefox,firefox,firefox,9.0,9.0
Firefox,firefox,firefox,9.0.1,9.0
Firefox,firefox,firefox,10.0a1,10.0
Firefox,firefox,firefox,10.0a2,10.0
Firefox,firefox,firefox,10.0b1,10.0
Firefox,firefox,firefox,10.0b2,10.0
Firefox,firefox,firefox,10.0b3,10.0
Firefox,firefox,firefox,10.0b4,10.0
Firefox,firefox,firefox,10.0b5,10.0
Firefox,firefox,firefox,10.0b6,10.0
Firefox,firefox,firefox,10.0,10.0
Firefox,firefox,firefox,10.0esr,10.0
Firefox,firefox,firefox,10.0.1,10.0
Firefox,firefox,firefox,10.0.1esr,10.0
Firefox,firefox,firefox,10.0.2,10.0
Firefox,firefox,firefox,10.0.2esr,10.0
Firefox,firefox,firefox,10.0.3,10.0
Firefox,firefox,firefox,10.0.3esr,10.0
Firefox,firefox,firefox,10.0.4,10.0
Firefox,firefox,firefox,10.0.4esr,10.0
Firefox,firefox,firefox,10.0.5,10.0
Firefox,firefox,firefox,10.0.5esr,10.0
Firefox,firefox,firefox,11.0a1,11.0
Firefox,firefox,firefox,11.0a2,11.0
Firefox,firefox,firefox,11.0b1,11.0
Firefox,firefox,firefox,11.0b2,11.0
Firefox,firefox,firefox,11.0b3,11.0
Firefox,firefox,firefox,11.0b4,11.0
Firefox,firefox,firefox,11.0b5,11.0
Firefox,firefox,firefox,11.0b6,11.0
Firefox,firefox,firefox,11.0b7,11.0
Firefox,firefox,firefox,11.0b8,11.0
Firefox,firefox,firefox,11.0,11.0
Firefox,firefox,firefox,12.0a1,12.0
Firefox,firefox,firefox,12.0a2,12.0
Firefox,firefox,firefox,12.0b1,12.0
Firefox,firefox,firefox,12.0b2,12.0
Firefox,firefox,firefox,12.0b3,12.0
Firefox,firefox,firefox,12.0b4,12.0
Firefox,firefox,firefox,12.0b5,12.0
Firefox,firefox,firefox,12.0b6,12.0
Firefox,firefox,firefox,12.0,12.0
Firefox,firefox,firefox,13.0a1,13.0
Firefox,firefox,firefox,13.0a2,13.0
Firefox,firefox,firefox,13.0b1,13.0
Firefox,firefox,firefox,13.0b2,13.0
Firefox,firefox,firefox,13.0b3,13.0
Firefox,firefox,firefox,13.0b4,13.0
Firefox,firefox,firefox,13.0b5,13.0
Firefox,firefox,firefox,13.0b6,13.0
Firefox,firefox,firefox,13.0b7,13.0
Firefox,firefox,firefox,13.0,13.0
Firefox,firefox,firefox,13.0.1,13.0
Firefox,firefox,firefox,14.0a1,14.0
Firefox,firefox,firefox,14.0a2,14.0
Firefox,firefox,firefox,14.0b6,14.0
Firefox,firefox,firefox,14.0b7,14.0
Firefox,firefox,firefox,14.0b8,14.0
Firefox,firefox,firefox,14.0b9,14.0
Firefox,firefox,firefox,14.0b10,14.0
Firefox,firefox,firefox,14.0b11,14.0
Firefox,firefox,firefox,14.0,14.0
Firefox,firefox,firefox,15.0a1,15.0
Firefox,firefox,firefox,15.0a2,15.0
Firefox,firefox,firefox,16.0a1,16.0

Webapp Runtime,webapprt,webapprt,13.0a1,13.0
Webapp Runtime,webapprt,webapprt,13.0a2,13.0
Webapp Runtime,webapprt,webapprt,13.0b1,13.0
Webapp Runtime,webapprt,webapprt,13.0b2,13.0
Webapp Runtime,webapprt,webapprt,13.0b3,13.0
Webapp Runtime,webapprt,webapprt,13.0b4,13.0
Webapp Runtime,webapprt,webapprt,13.0b5,13.0
Webapp Runtime,webapprt,webapprt,13.0b6,13.0
Webapp Runtime,webapprt,webapprt,13.0b7,13.0
Webapp Runtime,webapprt,webapprt,13.0,13.0
Webapp Runtime,webapprt,webapprt,13.0.1,13.0
Webapp Runtime,webapprt,webapprt,14.0a1,14.0
Webapp Runtime,webapprt,webapprt,14.0a2,14.0
Webapp Runtime,webapprt,webapprt,14.0b6,14.0
Webapp Runtime,webapprt,webapprt,14.0b7,14.0
Webapp Runtime,webapprt,webapprt,14.0,14.0
Webapp Runtime,webapprt,webapprt,15.0a1,15.0
Webapp Runtime,webapprt,webapprt,15.0a2,15.0
Webapp Runtime,webapprt,webapprt,16.0a1,16.0

Fennec,firefox-mobile,fennec,1.0.0,1.0
Fennec,firefox-mobile,fennec,1.1,1.0
Fennec,firefox-mobile,fennec,2.0a1pre,2.0
Fennec,firefox-mobile,fennec,2.0a1,2.0
Fennec,firefox-mobile,fennec,2.0b1pre,2.0
Fennec,firefox-mobile,fennec,4.0b5,4.0
Fennec,firefox-mobile,fennec,4.0b6pre,4.0
Fennec,firefox-mobile,fennec,4.0,4.0
Fennec,firefox-mobile,fennec,4.0.1,4.0
Fennec,firefox-mobile,fennec,4.0.2pre,4.0
Fennec,firefox-mobile,fennec,5.0,5.0
Fennec,firefox-mobile,fennec,6.0a2,6.0
Fennec,firefox-mobile,fennec,6.0,6.0
Fennec,firefox-mobile,fennec,6.0.1,6.0
Fennec,firefox-mobile,fennec,6.0.2,6.0
Fennec,firefox-mobile,fennec,7.0a1,7.0
Fennec,firefox-mobile,fennec,7.0a2,7.0
Fennec,firefox-mobile,fennec,7.0,7.0
Fennec,firefox-mobile,fennec,7.0.1,7.0
Fennec,firefox-mobile,fennec,8.0a1,8.0
Fennec,firefox-mobile,fennec,8.0a2,8.0
Fennec,firefox-mobile,fennec,8.0b4,8.0
Fennec,firefox-mobile,fennec,8.0b5,8.0
Fennec,firefox-mobile,fennec,8.0,8.0
Fennec,firefox-mobile,fennec,8.0.1,8.0
Fennec,firefox-mobile,fennec,9.0a1,9.0
Fennec,firefox-mobile,fennec,9.0a2,9.0
Fennec,firefox-mobile,fennec,9.0b1,9.0
Fennec,firefox-mobile,fennec,9.0b2,9.0
Fennec,firefox-mobile,fennec,9.0b3,9.0
Fennec,firefox-mobile,fennec,9.0b4,9.0
Fennec,firefox-mobile,fennec,9.0b5,9.0
Fennec,firefox-mobile,fennec,9.0b6,9.0
Fennec,firefox-mobile,fennec,9.0,9.0
Fennec,firefox-mobile,fennec,10.0a1,10.0
Fennec,firefox-mobile,fennec,10.0a2,10.0
Fennec,firefox-mobile,fennec,10.0b1,10.0
Fennec,firefox-mobile,fennec,10.0b2,10.0
Fennec,firefox-mobile,fennec,10.0b3,10.0
Fennec,firefox-mobile,fennec,10.0b4,10.0
Fennec,firefox-mobile,fennec,10.0b5,10.0
Fennec,firefox-mobile,fennec,10.0b6,10.0
Fennec,firefox-mobile,fennec,10.0,10.0
Fennec,firefox-mobile,fennec,10.0.1,10.0
Fennec,firefox-mobile,fennec,10.0.2,10.0
Fennec,firefox-mobile,fennec,10.0.3,10.0
Fennec,firefox-mobile,fennec,10.0.3esr,10.0
Fennec,firefox-mobile,fennec,10.0.4,10.0
Fennec,firefox-mobile,fennec,10.0.4esr,10.0
Fennec,firefox-mobile,fennec,10.0.5,10.0
Fennec,firefox-mobile,fennec,11.0a1,11.0
Fennec,firefox-mobile,fennec,11.0a2,11.0
Fennec,firefox-mobile,fennec,11.0b1,11.0
Fennec,firefox-mobile,fennec,11.0b2,11.0
Fennec,firefox-mobile,fennec,11.0b3,11.0
